name,dist,value,made,desc,team,opp,x,y,player_id,event_id,zone,area,date,team,opp,running,jump,hook,layup,driving,dunk,alley,reverse,turnaround,fadeaway,bank,finger,putback,float,pullup,step,cutting,tip,game_id,date,period,min_left,sec_left
L. Williams,30,3,True,Running Pull-Up Jump Shot,LAC,LAL,-154,258,101150,343,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,0,32
I. Zubac,1,2,True,Cutting Layup Shot,LAC,LAL,-9,5,1627826,353,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0021900002,20191022,2,0,5
D. Green,27,3,False,Jump Shot,LAC,LAL,217,172,201980,355,24+ ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,0,0
K. Leonard,20,2,False,Pullup Jump shot,LAC,LAL,-204,17,202695,365,16-24 ft.,Left Side(L),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,3,11,39
J. McGee,1,2,True,Cutting Dunk Shot,LAC,LAL,11,6,201580,367,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0021900002,20191022,3,11,20
K. Leonard,12,2,True,Pullup Jump shot,LAC,LAL,-93,80,202695,372,8-16 ft.,Left Side(L),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,3,11,0
A. Davis,18,2,False,Turnaround Jump Shot,LAC,LAL,-89,159,203076,374,16-24 ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,10,40
I. Zubac,3,2,True,Hook Bank Shot,LAC,LAL,-27,22,1627826,376,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0021900002,20191022,3,10,30
A. Bradley,25,3,False,Jump Shot,LAC,LAL,-79,246,202340,378,24+ ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,10,5
P. Patterson,27,3,True,Pullup Jump shot,LAC,LAL,177,207,202335,380,24+ ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,3,9,56
D. Green,24,3,True,Jump Shot,LAC,LAL,241,34,201980,383,24+ ft.,Right Side(R),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,9,41
K. Leonard,13,2,False,Turnaround Fadeaway shot,LAC,LAL,-137,-14,202695,385,8-16 ft.,Left Side(L),20191022,LAC,LAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0021900002,20191022,3,9,14
I. Zubac,2,2,True,Turnaround Bank Hook Shot,LAC,LAL,14,25,1627826,392,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0021900002,20191022,3,8,38
L. James,6,2,False,Driving Floating Jump Shot,LAC,LAL,-2,68,2544,394,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0021900002,20191022,3,8,17
D. Green,26,3,True,Jump Shot,LAC,LAL,-154,218,201980,400,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,7,54
L. James,1,2,False,Driving Layup Shot,LAC,LAL,-16,8,2544,408,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,7,19
J. McGee,0,2,False,Tip Layup Shot,LAC,LAL,0,-6,201580,410,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0021900002,20191022,3,7,16
A. Davis,1,2,False,Tip Dunk Shot,LAC,LAL,0,17,203076,412,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0021900002,20191022,3,7,14
L. Shamet,3,2,False,Running Layup Shot,LAC,LAL,-11,32,1629013,414,Less Than 8 ft.,Center(C),20191022,LAC,LAL,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,7,10
L. James,2,2,True,Running Layup Shot,LAC,LAL,1,21,2544,416,Less Than 8 ft.,Center(C),20191022,LAC,LAL,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,7,9
L. Williams,6,2,True,Driving Floating Jump Shot,LAC,LAL,-12,68,101150,419,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0021900002,20191022,3,6,55
L. Williams,21,2,True,Pullup Jump shot,LAC,LAL,-133,169,101150,428,16-24 ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,3,6,18
L. Williams,27,3,False,Jump Shot,LAC,LAL,-180,211,101150,430,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,5,52
L. James,26,3,False,Jump Shot,LAC,LAL,-127,235,2544,438,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,5,30
P. Patterson,29,3,False,Jump Shot,LAC,LAL,-168,248,202335,440,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,5,21
L. Shamet,1,2,False,Running Layup Shot,LAC,LAL,-11,12,1629013,444,Less Than 8 ft.,Center(C),20191022,LAC,LAL,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,5,1
A. Davis,1,2,True,Finger Roll Layup Shot,LAC,LAL,7,14,203076,454,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0021900002,20191022,3,4,43
M. Harrell,2,2,True,Dunk Shot,LAC,LAL,-7,27,1626149,455,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,4,28
A. Davis,15,2,False,Fadeaway Jump Shot,LAC,LAL,111,114,203076,459,8-16 ft.,Right Side(R),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0021900002,20191022,3,4,6
D. Green,2,2,True,Reverse Layup Shot,LAC,LAL,6,27,201980,461,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,4,2
L. Shamet,27,3,True,Jump Shot,LAC,LAL,-54,270,1629013,462,24+ ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,3,50
A. Davis,26,3,False,Jump Shot,LAC,LAL,-122,231,203076,464,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,3,3,34
K. Caldwell-Pope,15,2,False,Pullup Jump shot,LAC,LAL,-158,13,203484,469,8-16 ft.,Left Side(L),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,3,3,27
